fecha,encuesta,aprueba,desaprueba,dif,,
02/11/2021,Atlas,16.70,75.60,-58.90,,
31/10/2021,Data Influye,11.00,75.00,-64.00,,
29/10/2021,Activa Research,15.30,73.30,-58.00,,
29/10/2021,Cadem,17.00,79.00,-62.00,,
22/10/2021,Cadem,18.00,76.00,-58.00,,
15/10/2021,Activa Research,12.50,73.80,-61.30,,
14/10/2021,Cadem,16.00,79.00,-63.00,,
08/10/2021,Cadem,15.00,79.00,-64.00,,
05/10/2021,Criteria Research,16.00,73.00,-57.00,,
04/10/2021,Data Influye,13.00,69.00,-56.00,,
01/10/2021,Activa Research,16.50,69.20,-52.70,,
01/10/2021,Cadem,22.00,71.00,-49.00,,
24/09/2021,Cadem,26.00,67.00,-41.00,,
16/09/2021,Cadem,26.00,68.00,-42.00,,
10/09/2021,Cadem,22.00,68.00,-46.00,,
06/09/2021,Data Influye,13.00,69.00,-56.00,,
03/09/2021,Cadem,25.00,68.00,-43.00,,
01/09/2021,CEP,16.00,68.00,-52.00,,
31/08/2021,Criteria Research,16.00,73.00,-57.00,,
27/08/2021,Activa Research,19.50,61.70,-42.20,,
27/08/2021,Cadem,26.00,66.00,-40.00,,
20/08/2021,Cadem,26.00,68.00,-42.00,,
13/08/2021,Activa Research,18.90,64.70,-45.80,,
13/08/2021,Cadem,27.00,64.00,-37.00,,
06/08/2021,Cadem,24.00,68.00,-44.00,,
03/08/2021,Criteria Research,15.00,75.00,-60.00,,
02/08/2021,Data Influye,12.00,72.00,-60.00,,
30/07/2021,Activa Research,14.80,69.80,-55.00,,
30/07/2021,Cadem,26.00,67.00,-41.00,,
23/07/2021,Cadem,20.00,76.00,-56.00,,
15/07/2021,Cadem,21.00,72.00,-51.00,,
09/07/2021,Cadem,22.00,69.00,-47.00,,
01/07/2021,Cadem,22.00,68.00,-46.00,,
29/06/2021,Criteria Research,12.00,81.00,-69.00,, 
28/06/2021,Data Influye,9.00,75.00,-66.00,,
17/06/2021,Cadem,18.00,71.00,-53.00,,
14/06/2021,LabEstudios,14.00,80.00,-66.00,,
11/06/2021,Activa Research,15.40,72.50,-57.10,,
11/06/2021,Cadem,20.00,71.00,-51.00,,
03/06/2021,Cadem,18.00,72.00,-54.00,,
01/06/2021,Criteria Research,14.00,78.00,-64.00,,
31/05/2021,Data Influye,10.00,76.00,-66.00,,
28/05/2021,Activa Research,12.60,75.30,-62.70,,
28/05/2021,Cadem,17.00,73.00,-56.00,,
20/05/2021,Cadem,13.00,79.00,-66.00,,
18/05/2021,Activa Research,9.80,79.10,-69.30,,
14/05/2021,Cadem,16.00,76.00,-60.00,,
07/05/2021,Cadem,15.00,76.00,-61.00,,
03/05/2021,Criteria Research,11.00,83.00,-72.00,,
30/04/2021,Activa Research,11.90,80.70,-68.80,,
30/04/2021,Cadem,11.00,79.00,-68.00,,
26/04/2021,Data Influye,7.00,81.00,-74.00,,
23/04/2021,CEP,9.00,74.00,-65.00,,
22/04/2021,Cadem,9.00,82.00,-73.00,,
16/04/2021,Activa Research,12.40,79.10,-66.70,,
16/04/2021,Cadem,16.00,73.00,-57.00,,
08/04/2021,Cadem,14.00,73.00,-59.00,,
01/04/2021,Cadem,20.00,70.00,-50.00,,
30/03/2021,Criteria Research,13.00,80.00,-67.00,,
29/03/2021,Data Influye,9.00,76.00,-67.00,,
29/03/2021,Activa Research,12.20,77.20,-65.00,,
26/03/2021,Cadem,19.00,70.00,-51.00,,
19/03/2021,Cadem,20.00,71.00,-51.00,,
12/03/2021,Activa Research,10.70,78.10,-67.40,,
12/03/2021,Cadem,20.00,67.00,-47.00,,
05/03/2021,Cadem,20.00,70.00,-50.00,,
02/03/2021,Criteria Research,14.00,77.00,-63.00,,
28/02/2021,Data Influye,13.00,71.00,-58.00,,
26/02/2021,Activa Research,14.90,64.80,-49.90,,
26/02/2021,Cadem,24.00,65.00,-41.00,,
19/02/2021,Cadem,24.00,65.00,-41.00,,
12/02/2021,Activa Research,14.50,70.00,-55.50,,
12/02/2021,Cadem,23.00,66.00,-43.00,,
05/02/2021,Cadem,22.00,69.00,-47.00,,
01/02/2021,Criteria Research,13.00,80.00,-67.00,,
01/02/2021,Data Influye,11.00,71.00,-60.00,,
29/01/2021,Activa Research,12.40,73.60,-61.20,,
29/01/2021,Cadem,19.00,71.00,-52.00,,
22/01/2021,Cadem,19.00,71.00,-52.00,,
15/01/2021,Activa Research,13.90,74.50,-60.60,,
15/01/2021,Cadem,17.00,72.00,-55.00,,
08/01/2021,Cadem,18.00,69.00,-51.00,,
05/01/2021,Criteria Research,15.00,77.00,-62.00,,
04/01/2021,Data Influye,11.00,74.00,-63.00,,
31/12/2020,Cadem,17.00,70.00,-53.00,,
24/12/2020,Cadem,17.00,70.00,-53.00,,
18/12/2020,Cadem,14.00,75.00,-61.00,,
15/12/2020,Feedback,4.00,86.00,-82.00,,
14/12/2020,Activa Research,10.00,79.10,-69.10,,
10/12/2020,Cadem,14.00,76.00,-62.00,,
09/12/2020,Criteria Research,7.00,87.00,-80.00,,
03/12/2020,Cadem,12.00,78.00,-66.00,,
30/11/2020,Data Influye,7.00,82.00,-75.00,,
28/11/2020,Activa Research,11.20,81.20,-70.00,,
27/11/2020,Cadem,13.00,78.00,-65.00,,
19/11/2020,Cadem,16.00,73.00,-57.00,,
14/11/2020,Activa Research,12.30,74.30,-62.00,,
13/11/2020,Cadem,16.00,72.00,-56.00,,
06/11/2020,Cadem,18.00,72.00,-54.00,,
03/11/2020,Criteria Research,13.00,78.00,-65.00,,
02/11/2020,Data Influye,8.00,77.00,-69.00,,
31/10/2020,Activa Research,15.40,73.60,-58.20,,
30/10/2020,Cadem,17.00,72.00,-55.00,,
25/10/2020,Cadem,14.00,78.00,-64.00,,
23/10/2020,Cadem,15.00,77.00,-62.00,,
17/10/2020,Activa Research,16.80,71.90,-55.10,,
