id,fecha,año,circunscripción,comuna,id_región,región,provincia,id_provincia,sexo_mesa,candidato_nombre,candidato_sexo,válidos,partido,periodo,resultado
1,17/11/2013,2013,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MIXTA,ALFREDO SFEIR,HOMBRE,40,PARTIDO ECOLOGISTA VERDE,2014 - 2018,NO ELECTO
2,17/11/2013,2013,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MIXTA,EVELYN MATTHEI,MUJER,1148,UNION DEMOCRATA INDEPENDIENTE,2014 - 2018,ELECTO
3,17/11/2013,2013,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MIXTA,FRANCO PARISI,HOMBRE,973,INDEPENDIENTES,2014 - 2018,NO ELECTO
4,17/11/2013,2013,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MIXTA,MARCEL CLAUDE,HOMBRE,98,PARTIDO HUMANISTA,2014 - 2018,NO ELECTO
5,17/11/2013,2013,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MIXTA,MARCO ENRIQUEZ-OMINAMI,HOMBRE,840,PARTIDO PROGRESISTA,2014 - 2018,NO ELECTO
6,17/11/2013,2013,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MIXTA,MICHELLE BACHELET,MUJER,3185,PARTIDO SOCIALISTA DE CHILE,2014 - 2018,ELECTO
7,17/11/2013,2013,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MIXTA,RICARDO ISRAEL,HOMBRE,17,PARTIDO REGIONALISTA DE LOS INDEPENDIENTES,2014 - 2018,NO ELECTO
8,17/11/2013,2013,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MIXTA,ROXANA MIRANDA,MUJER,107,PARTIDO IGUALDAD,2014 - 2018,NO ELECTO
9,17/11/2013,2013,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MIXTA,JOSE TOMAS JOCELYN-HOLT,HOMBRE,7,INDEPENDIENTES,2014 - 2018,NO ELECTO
10,17/11/2013,2013,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MIXTA,VOTOS EN BLANCO ,,23,,2014 - 2018,
11,17/11/2013,2013,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MIXTA,VOTOS NULOS ,,68,,2014 - 2018,
12,17/11/2013,2013,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MIXTA,ALFREDO SFEIR,HOMBRE,29,PARTIDO ECOLOGISTA VERDE,2014 - 2018,NO ELECTO
13,17/11/2013,2013,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MIXTA,EVELYN MATTHEI,MUJER,846,UNION DEMOCRATA INDEPENDIENTE,2014 - 2018,ELECTO
14,17/11/2013,2013,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MIXTA,FRANCO PARISI,HOMBRE,871,INDEPENDIENTES,2014 - 2018,NO ELECTO
15,17/11/2013,2013,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MIXTA,MARCEL CLAUDE,HOMBRE,105,PARTIDO HUMANISTA,2014 - 2018,NO ELECTO
16,17/11/2013,2013,ALTO HOSPICIO,ALTO HOSPICIO,1,DE TARAPACA,IQUIQUE,3,MIXTA,MARCO ENRIQUEZ-OMINAMI,HOMBRE,522,PARTIDO PROGRESISTA,2014 - 2018,NO ELECTO
