id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,id_región,región,circunscripción_senatorial,distrito,comuna,id_circunscripción,circusncripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,lista,válidos
1,Municipales,Alcalde,31/10/2004,2004,2004,2008,2004-2008,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Figueroa Llona Cristian,Cristian Igor,Figueroa,Llona,Hombre,,Socialista De Chile,PS,C,9106
2,Municipales,Alcalde,31/10/2004,2004,2004,2008,2004-2008,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Ojeda Murillo Carlos Jorge,Carlos Jorge,Ojeda,Murillo,Hombre,,Humanista,PH,A,1270
3,Municipales,Alcalde,31/10/2004,2004,2004,2008,2004-2008,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Valcarce Medina Carlos,Carlos Raul,Valcarce,Medina,Hombre,Si,Renovacion Nacional,RN,B,13293
4,Municipales,Alcalde,31/10/2004,2004,2004,2008,2004-2008,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Vargas Pizarro Orlando Severo,Orlando Severo,Vargas,Pizarro,Hombre,,Independiente,IND,CI,6465
5,Municipales,Alcalde,31/10/2004,2004,2004,2008,2004-2008,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Votos Nulos, ,  , ,, , , , ,2639
6,Municipales,Alcalde,31/10/2004,2004,2004,2008,2004-2008,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Votos En Blanco, ,  , ,, , , , ,1115
7,Municipales,Alcalde,31/10/2004,2004,2004,2008,2004-2008,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Figueroa Llona Cristian,Cristian Igor,Figueroa,Llona,Hombre,,Socialista De Chile,PS,C,10559
8,Municipales,Alcalde,31/10/2004,2004,2004,2008,2004-2008,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Ojeda Murillo Carlos Jorge,Carlos Jorge,Ojeda,Murillo,Hombre,,Humanista,PH,A,1361
9,Municipales,Alcalde,31/10/2004,2004,2004,2008,2004-2008,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Valcarce Medina Carlos,Carlos Raul,Valcarce,Medina,Hombre,Si,Renovacion Nacional,RN,B,15890
10,Municipales,Alcalde,31/10/2004,2004,2004,2008,2004-2008,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Vargas Pizarro Orlando Severo,Orlando Severo,Vargas,Pizarro,Hombre,,Independiente,IND,CI,6586
11,Municipales,Alcalde,31/10/2004,2004,2004,2008,2004-2008,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Votos Nulos, ,  , ,, , , , ,3191
12,Municipales,Alcalde,31/10/2004,2004,2004,2008,2004-2008,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Votos En Blanco, ,  , ,, , , , ,988
13,Municipales,Alcalde,31/10/2004,2004,2004,2008,2004-2008,1,De Tarapaca,1,1,Arica,599,San Miguel De Azapa,Hombre,Figueroa Llona Cristian,Cristian Igor,Figueroa,Llona,Hombre,,Socialista De Chile,PS,C,31
14,Municipales,Alcalde,31/10/2004,2004,2004,2008,2004-2008,1,De Tarapaca,1,1,Arica,599,San Miguel De Azapa,Hombre,Ojeda Murillo Carlos Jorge,Carlos Jorge,Ojeda,Murillo,Hombre,,Humanista,PH,A,5
15,Municipales,Alcalde,31/10/2004,2004,2004,2008,2004-2008,1,De Tarapaca,1,1,Arica,599,San Miguel De Azapa,Hombre,Valcarce Medina Carlos,Carlos Raul,Valcarce,Medina,Hombre,Si,Renovacion Nacional,RN,B,73
16,Municipales,Alcalde,31/10/2004,2004,2004,2008,2004-2008,1,De Tarapaca,1,1,Arica,599,San Miguel De Azapa,Hombre,Vargas Pizarro Orlando Severo,Orlando Severo,Vargas,Pizarro,Hombre,,Independiente,IND,CI,30
