id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,id_región,región,circunscripción_senatorial,distrito,comuna,id_circunscripción,circusncripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,lista,válidos
15281,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Alamo Alamo Gabriel,Gabriel,Alamo,Alamo,Hombre,,Independiente,IND,T,401
15282,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Alvarez Mancilla Christian Rodrigo,Christian Rodrigo,Alvarez,Mancilla,Hombre,,Independiente,IND,T,1083
15283,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Cuevas Troncoso Rodrigo,Rodrigo,Cuevas,Troncoso,Hombre,,Independiente,IND,T,9223
15284,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Diaz Gonzalez Anibal,Anibal,Diaz,Gonzalez,Mujer,,Partido Igualdad,IGUALDAD,M,404
15285,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Durana Semir Jose,Jose,Durana,Semir,Hombre,,Union Democrata Independiente,UDI,F,8747
15286,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Espindola Rojas Gerardo,Gerardo,Espindola,Rojas,Hombre,Si,Partido Liberal De Chile,PL ,P,9763
15287,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Lee Rodriguez Jose Gustavo,Jose Gustavo,Lee,Rodriguez,Hombre,,Poder,PODER,C,2564
15288,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Murillo Neumann Andrea,Andrea,Murillo,Neumann,Mujer,,Partido Democrata Cristiano,PDC,E,5694
15289,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Navarro Argandoña Marcos,Marcos,Navarro,Argandoña,Hombre,,Amplitud,AMPLITUD,I,427
15290,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Olivos Azua Bernardo,Bernardo,Olivos,Azua,Hombre,,Independiente,IND,T,695
15291,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Perez Cortes Andrea,Andrea,Perez,Cortes,Mujer,,Unidos Resulta En Democracia,URD,Q,829
15292,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Votos Nulos,,,,,,,,,1008
15293,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Votos En Blanco,,,,,,,,,574
15294,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,660,Arica Norte,Mixta,Alamo Alamo Gabriel,Gabriel,Alamo,Alamo,Hombre,,Independiente,IND,T,62
15295,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,660,Arica Norte,Mixta,Alvarez Mancilla Christian Rodrigo,Christian Rodrigo,Alvarez,Mancilla,Hombre,,Independiente,IND,T,153
15296,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,660,Arica Norte,Mixta,Cuevas Troncoso Rodrigo,Rodrigo,Cuevas,Troncoso,Hombre,,Independiente,IND,T,2063
15297,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,660,Arica Norte,Mixta,Diaz Gonzalez Anibal,Anibal,Diaz,Gonzalez,Mujer,,Partido Igualdad,IGUALDAD,M,51
15298,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,660,Arica Norte,Mixta,Durana Semir Jose,Jose,Durana,Semir,Hombre,,Union Democrata Independiente,UDI,F,1168
15299,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,660,Arica Norte,Mixta,Espindola Rojas Gerardo,Gerardo,Espindola,Rojas,Hombre,Si,Partido Liberal De Chile,PL ,P,1634
15300,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,660,Arica Norte,Mixta,Lee Rodriguez Jose Gustavo,Jose Gustavo,Lee,Rodriguez,Hombre,,Poder,PODER,C,385
15301,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,660,Arica Norte,Mixta,Murillo Neumann Andrea,Andrea,Murillo,Neumann,Mujer,,Partido Democrata Cristiano,PDC,E,813
15302,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,660,Arica Norte,Mixta,Navarro Argandoña Marcos,Marcos,Navarro,Argandoña,Hombre,,Amplitud,AMPLITUD,I,59
15303,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,660,Arica Norte,Mixta,Olivos Azua Bernardo,Bernardo,Olivos,Azua,Hombre,,Independiente,IND,T,85
15304,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,660,Arica Norte,Mixta,Perez Cortes Andrea,Andrea,Perez,Cortes,Mujer,,Unidos Resulta En Democracia,URD,Q,146
15305,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,660,Arica Norte,Mixta,Votos Nulos,,,,,,,,,138
15306,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,660,Arica Norte,Mixta,Votos En Blanco,,,,,,,,,61
15307,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,599,San Miguel De Azapa,Mixta,Alamo Alamo Gabriel,Gabriel,Alamo,Alamo,Hombre,,Independiente,IND,T,14
15308,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,599,San Miguel De Azapa,Mixta,Alvarez Mancilla Christian Rodrigo,Christian Rodrigo,Alvarez,Mancilla,Hombre,,Independiente,IND,T,12
15309,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,599,San Miguel De Azapa,Mixta,Cuevas Troncoso Rodrigo,Rodrigo,Cuevas,Troncoso,Hombre,,Independiente,IND,T,138
15310,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,599,San Miguel De Azapa,Mixta,Diaz Gonzalez Anibal,Anibal,Diaz,Gonzalez,Mujer,,Partido Igualdad,IGUALDAD,M,29
15311,Municipales,Alcalde,23/10/2016,2016,2016,2020,2016-2020,15,Arica Y Parinacota,1,1,Arica,599,San Miguel De Azapa,Mixta,Durana Semir Jose,Jose,Durana,Semir,Hombre,,Union Democrata Independiente,UDI,F,141
