id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,id_región,región,circunscripción_senatorial,distrito,comuna,id_circunscripción,circusncripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,lista,válidos
54677,Municipales,Concejal,28/10/2012,2012,2012,2016,2012-2016,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Amanda Sotomayor Pereira,Amanda Alejandra,Sotomayor,Pereira,Mujer,,Partido De Izquierda Ciudadana De Chile,IC,E,584
54678,Municipales,Concejal,28/10/2012,2012,2012,2016,2012-2016,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Andrea Vilca Aguilera,Andrea Marcela,Vilca,Aguilera,Mujer,,Independiente,IND,I,152
54679,Municipales,Concejal,28/10/2012,2012,2012,2016,2012-2016,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Andres Cofre Canales,Andres Jesus,Cofre,Canales,Hombre,,Partido Socialista De Chile,PS,F,392
54680,Municipales,Concejal,28/10/2012,2012,2012,2016,2012-2016,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Andres Peralta Martinich,Andres Alberto,Peralta,Martinich,Hombre,Si,Union Democrata Independiente,UDI,H,2087
54681,Municipales,Concejal,28/10/2012,2012,2012,2016,2012-2016,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Angel Rene Tavali Perez,Angel Rene,Tavali,Perez,Hombre,,Partido Regionalista De Los Independientes,PRI,B,388
54682,Municipales,Concejal,28/10/2012,2012,2012,2016,2012-2016,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Anselmo Rodriguez Alanoca,Anselmo,Rodriguez,Alanoca,Hombre,,Independiente,IND,G,298
54683,Municipales,Concejal,28/10/2012,2012,2012,2016,2012-2016,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Carlos Jorge Ojeda Murillo,Carlos Jorge,Ojeda,Murillo,Hombre,,Partido Humanista,PH,G,1610
54684,Municipales,Concejal,28/10/2012,2012,2012,2016,2012-2016,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Carmen Fuentes Borgel,Carmen Manuela Rosari,Fuentes,Borgel,Mujer,,Partido Socialista De Chile,PS,F,407
54685,Municipales,Concejal,28/10/2012,2012,2012,2016,2012-2016,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Carolina Videla Osorio,Carolina Eliana,Videla,Osorio,Mujer,,Partido Comunista De Chile,PCCH,E,1394
54686,Municipales,Concejal,28/10/2012,2012,2012,2016,2012-2016,15,Arica Y Parinacota,1,1,Arica,1,Arica,Mixta,Catalina Cabrera Maldonado,Catalina Daniela,Cabrera,Maldonado,Mujer,,Independiente,IND,D,123
