id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,id_región,región,circunscripción_senatorial,distrito,comuna,id_circunscripción,circusncripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,lista,válidos
8243,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Cisternas Flores Pedro,Pedro Armando,Cisternas,Flores,Hombre,,Comunista De Chile,PCCH,A,1665
8244,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Solari Ramirez Jose,Jose Natalio,Solari,Ramirez,Hombre,,Independiente,INDEP,B,1466
8245,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Valcarce Medina Carlos,Carlos Raul,Valcarce,Medina,Hombre,Si,Renovacion Nacional,RN,B,11044
8246,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Torres Zamora Patricio,Patricio Alejandro,Torres,Zamora,Hombre,,Alianza Humanista-Verde,PHV,C,447
8247,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Leblanc Valenzuela Luis,Luis Enrique,Leblanc,Valenzuela,Hombre,,Democrata Cristiano,PDC,D,7953
8248,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Urrutia Cardenas Salvador,Salvador Pedro,Urrutia,Cardenas,Hombre,Si,Por La Democracia,PPD,D,16986
8249,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Votos En Blanco, , , ,  ,, ,  ,,1385
8250,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Votos Nulos, ,  ,  ,  ,,  ,   ,,2220
8251,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Cisternas Flores Pedro,Pedro Armando,Cisternas,Flores,Hombre,,Comunista De Chile,PCCH,A,1258
8252,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Solari Ramirez Jose,Jose Natalio,Solari,Ramirez,Hombre,,Independiente,INDEP,B,1705
8253,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Valcarce Medina Carlos,Carlos Raul,Valcarce,Medina,Hombre,Si,Renovacion Nacional,RN,B,12237
8254,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Torres Zamora Patricio,Patricio Alejandro,Torres,Zamora,Hombre,,Alianza Humanista-Verde,PHV,C,405
8255,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Leblanc Valenzuela Luis,Luis Enrique,Leblanc,Valenzuela,Hombre,,Democrata Cristiano,PDC,D,7655
8256,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Urrutia Cardenas Salvador,Salvador Pedro,Urrutia,Cardenas,Hombre,Si,Por La Democracia,PPD,D,18305
8257,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Votos En Blanco, , , ,  ,, ,  ,,1601
8258,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Votos Nulos, ,  ,  ,  ,,  ,   ,,2775
8259,Parlamentaria,Diputado,11/12/1993,1993,1994,1998,1994-1998,1,De Tarapaca,1,1,Camarones,3,Camarones,Hombre,Cisternas Flores Pedro,Pedro Armando,Cisternas,Flores,Hombre,,Comunista De Chile,PCCH,A,5
