id,fecha,id_región,región,comuna,provincia,n_votos1,p_1,n_votos2,p_2,n_blancosynulos,p_blancosynulos,n_emitidos
1,04/01/1978,1,De Tarapaca,Arica,Arica,14498,19.28,55506,73.83,5178,6.89,75182
2,04/01/1978,1,De Tarapaca,Pica,Iquique,100,10.80,858,86.49,34,3.43,992
3,04/01/1978,1,De Tarapaca,Pozo Almonte,Iquique,495,12.20,3324,81.93,238,5.87,4057
4,04/01/1978,1,De Tarapaca,Huara,Iquique,368,13.34,2171,78.69,220,7.97,2759
5,04/01/1978,1,De Tarapaca,Iquique,Iquique,7716,15.03,40297,78.48,3331,6.49,51344
6,04/01/1978,2,De Antofagasta,Antofagasta,Antogasta,16433,17.29,70972,74.65,7667,8.06,95072
7,04/01/1978,2,De Antofagasta,Mejillones,Antogasta,534,21.10,1827,72.18,170,6.72,2531
8,04/01/1978,2,De Antofagasta,Tal Tal,Antogasta,792,17.87,3456,77.96,185,4.17,4433
9,04/01/1978,2,De Antofagasta,Calama,El Loa,11787,24.78,30711,64.57,5063,10.65,47561
10,04/01/1978,2,De Antofagasta,Tocopilla,Tocopilla,3472,16.12,16920,78.55,1148,5.33,21540
11,04/01/1978,3,De Atacama,Copiapo,Copiapo,6073,18.09,26060,77.62,1439,4.29,33572
12,04/01/1978,3,De Atacama,Tierra Amarilla,Copiapo,645,17.96,2698,75.13,248,6.91,3591
13,04/01/1978,3,De Atacama,Caldera,Copiapo,426,15.77,2157,79.83,119,4.40,2702
14,04/01/1978,3,De Atacama,Chañaral,Chañaral,1551,19.85,5656,72.40,605,7.75,7812
15,04/01/1978,3,De Atacama,Diego de Almagro,Chañaral,2793,20.33,9685,70.49,1261,9.18,13739
16,04/01/1978,3,De Atacama,Vallenar,Vallenar,4837,19.66,17694,71.92,2071,8.42,24602
17,04/01/1978,3,De Atacama,Freirina,Vallenar,320,11.07,2400,83.02,171,5.91,2891
18,04/01/1978,3,De Atacama,Huasco,Vallenar,854,19.35,3231,73.20,329,7.45,4414
19,04/01/1978,4,De Coquimbo,La Higuera,Elqui,452,23.95,1263,66.93,172,9.12,1887
20,04/01/1978,4,De Coquimbo,Vicuña,Elqui,503,6.91,6629,91.12,143,1.97,7275
21,04/01/1978,4,De Coquimbo,Paihuano,Elqui,283,8.71,2917,89.75,50,1.54,3250
22,04/01/1978,4,De Coquimbo,Andacollo,Elqui,1565,25.41,4486,72.85,107,1.74,6158
23,04/01/1978,4,De Coquimbo,La Serena,Elqui,11088,21.41,37550,72.49,3162,6.10,51800
24,04/01/1978,4,De Coquimbo,Coquimbo,Elqui,6566,17.05,29799,77.36,2155,5.59,38520
25,04/01/1978,4,De Coquimbo,Ovalle,Limari,5147,16.84,23836,77.97,1587,5.19,30570
26,04/01/1978,4,De Coquimbo,Combarbalá,Limari,1348,15.27,7635,84.24,44,0.49,9027
27,04/01/1978,4,De Coquimbo,Monte Patria,Limari,1602,17.08,7777,82.92,,,9379
28,04/01/1978,4,De Coquimbo,Punitaqui,Limari,1474,22.19,4809,72.42,358,5.39,6641
29,04/01/1978,4,De Coquimbo,Samo Alto,Limari,165,6.84,2249,93.16,,,2414
30,04/01/1978,4,De Coquimbo,Illapel,Choapa,3107,25.12,8572,69.29,692,5.59,12371
31,04/01/1978,4,De Coquimbo,Los Vilos,Choapa,1198,15.20,6170,78.30,412,6.50,7780
32,04/01/1978,4,De Coquimbo,Salamanca,Choapa,2388,23.83,7189,71.73,448,4.44,10025
33,04/01/1978,4,De Coquimbo,Mincha,Choapa,1434,28.01,3241,63.30,445,8.69,5120
34,04/01/1978,5,De Valparaiso,Valparaíso,Valparaíso,37760,22.43,121822,72.34,8812,5.23,168394
35,04/01/1978,5,De Valparaiso,Viña del Mar,Valparaíso,31066,21.42,109414,75.43,4564,3.15,145044
36,04/01/1978,5,De Valparaiso,Quilpué,Valparaíso,10443,23.16,30880,68.50,3760,8.34,45083
37,04/01/1978,5,De Valparaiso,Villa Alemana,Valparaíso,5730,21.47,19558,73.30,1395,5.23,26683
38,04/01/1978,5,De Valparaiso,Casablanca,Valparaíso,1026,12.54,6863,83.90,291,3.56,8180
39,04/01/1978,5,De Valparaiso,Quintero,Valparaíso,1979,17.27,8812,76.92,665,5.81,11456
40,04/01/1978,5,De Valparaiso,Puchuncaví,Valparaíso,1029,21.05,3432,70.23,426,8.72,4887
41,04/01/1978,5,De Valparaiso,Juan Fernández,Valparaíso,23,8.55,243,90.33,3,1.12,269
42,04/01/1978,5,De Valparaiso,Quillota,Quillota,4784,15.08,25477,80.28,1474,4.64,31735
43,04/01/1978,5,De Valparaiso,Calera,Quillota,5394,28.53,12104,64.01,1410,7.46,18908
44,04/01/1978,5,De Valparaiso,Limache,Quillota,2457,15.70,12654,80.83,543,3.47,15654
45,04/01/1978,5,De Valparaiso,La Cruz,Quillota,899,14.07,4251,66.53,1240,19.40,6390
46,04/01/1978,5,De Valparaiso,Olmué,Quillota,1101,17.37,4996,78.80,243,3.83,6340
47,04/01/1978,5,De Valparaiso,Hijuelas,Quillota,704,15.73,3589,80.18,183,4.09,4476
48,04/01/1978,5,De Valparaiso,Nogales,Quillota,3362,27.46,7937,64.83,944,7.71,12243
49,04/01/1978,5,De Valparaiso,San Felipe,San Felipe,4416,18.95,17696,75.93,1194,5.12,23306
50,04/01/1978,5,De Valparaiso,Catemu,San Felipe,978,18.37,4096,76.93,250,4.70,5324
51,04/01/1978,5,De Valparaiso,Panqueue,San Felipe,289,11.57,2166,86.75,42,1.68,2497
52,04/01/1978,5,De Valparaiso,Llay Llay,San Felipe,1243,13.62,7550,82.74,332,3.64,9125
