id,fecha,id_región,región,n_votos1,p_1,n_votos2p,p_2p,n_blancos,p_blancos,n_votos2,p_2,n_nulos,p_nulos,n_válidos,n_emitidos
1,18/09/1980,1,De Tarapaca,52509,32.99,99708,64.94,3640,2.29,103348,66.31,3299,2.07,155857,159156
2,18/09/1980,2,De Antofagasta,66031,34.00,120061,63.73,3713,1.91,123774,65.21,4418,2.27,189805,194223
3,18/09/1980,3,De Atacama,30732,29.67,67900,67.54,2064,1.99,69964,69.48,2897,2.80,100696,103593
4,18/09/1980,4,De Coquimbo,47305,21.29,162420,74.55,3213,1.45,165633,77.78,9234,4.16,212938,222172
5,18/09/1980,5,De Valparaíso,224049,31.18,463031,65.78,9587,1.33,472618,67.84,21821,3.04,696667,718488
6,18/09/1980,6,Del Libertador Bdo. O'Higgins,74293,23.54,224846,72.38,3558,1.13,228404,75.46,12865,4.08,302697,315562
7,18/09/1980,7,Del Maule,77462,19.20,307048,77.46,5449,1.35,312497,80.14,13448,3.33,389959,403407
8,18/09/1980,8,Del Biobio,244790,30.41,525226,66.39,9242,1.15,534468,68.59,25749,3.20,779258,805007
9,18/09/1980,9,De La Araucania,68416,19.01,276772,77.69,2837,0.79,279609,80.34,11864,3.30,348025,359889
10,18/09/1980,10,De Los Lagos,87895,20.41,324318,76.74,6100,1.42,330418,78.99,12251,2.85,418313,430564
11,18/09/1980,11,Aisen Del Gral. Carlos Ibañez,10882,30.82,22863,65.63,313,0.89,23176,68.05,1254,3.55,34058,35312
12,18/09/1980,12,De Magallanes Y Antartica Ch.,29074,37.34,46082,60.81,1267,1.63,47349,61.96,1445,1.86,76423,77868
13,18/09/1980,13,Metropolitana,879982,35.97,1480792,61.87,32829,1.34,1513621,63.24,53024,2.20,2393603,2413798
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
