id,fecha,id_región,región,comuna,provincia,n_votos1,p_1,n_votos2,p_2,n_blancos,p_blancos,n_nulos,p_nulos,n_válidos,n_emitidos
1,05/10/1988,1,De Tarapaca,Arica,Arica,51431,58.77,36078,41.23,1154,1.27,1895,2.09,87509,90558
2,05/10/1988,1,De Tarapaca,Camarones,Arica,67,14.86,384,85.14,15,3.11,17,3.52,451,483
3,05/10/1988,1,De Tarapaca,Camiña,Tamarugal,191,26.90,519,73.10,4,0.55,13,1.79,710,727
4,05/10/1988,1,De Tarapaca,Colchane,Tamarugal,125,18.41,554,81.59,9,1.25,33,4.58,679,721
5,05/10/1988,1,De Tarapaca,General Lagos,Parinacota,17,3.26,504,96.74,2,0.36,25,4.56,521,548
6,05/10/1988,1,De Tarapaca,Huara,Tamarugal,305,36.48,531,63.52,47,5.02,54,5.76,836,937
7,05/10/1988,1,De Tarapaca,Iquique,Iquique,39582,54.27,33354,45.73,828,1.11,1051,1.40,72936,74815
8,05/10/1988,1,De Tarapaca,Pica,Tamarugal,452,37.11,766,62.89,22,1.75,18,1.43,1218,1258
9,05/10/1988,1,De Tarapaca,Pozo Almonte,Tamarugal,1399,44.65,1734,55.35,67,2.06,52,1.60,3133,3252
10,05/10/1988,1,De Tarapaca,Putre,Parinacota,231,13.95,1425,86.05,28,1.63,30,1.75,1656,1714
11,05/10/1988,2,De Antofagasta,Antofagasta,Antofagasta,71109,61.51,44504,38.49,1178,0.99,2153,1.81,115613,118944
12,05/10/1988,2,De Antofagasta,Calama,Loa,39035,61.50,24432,38.50,965,1.47,1260,1.92,63467,65692
13,05/10/1988,2,De Antofagasta,Maria Elena,Tocopilla,5322,52.63,4790,47.37,115,1.10,196,1.88,10112,10423
14,05/10/1988,2,De Antofagasta,Mejillones,Antofagasta,2080,62.65,1240,37.35,39,1.15,42,1.23,3320,3401
15,05/10/1988,2,De Antofagasta,Ollague,Loa,42,27.10,113,72.90,2,1.17,14,8.19,155,171
16,05/10/1988,2,De Antofagasta,San Pedro De Atacama,Loa,603,40.83,874,59.17,29,1.90,21,1.38,1477,1527
17,05/10/1988,2,De Antofagasta,Sierra Gorda,Antofagasta,269,49.36,276,50.64,3,0.54,7,1.26,545,555
18,05/10/1988,2,De Antofagasta,Taltal,Antofagasta,2822,55.31,2280,44.69,83,1.57,116,2.19,5102,5301
19,05/10/1988,2,De Antofagasta,Tocopilla,Tocopilla,8770,60.40,5750,39.60,178,1.18,350,2.33,14520,15048
20,05/10/1988,3,De Atacama,Alto Del Carmen,Huasco,793,33.01,1609,66.99,55,2.20,41,1.64,2402,2498
21,05/10/1988,3,De Atacama,Caldera,Copiapó,2565,53.62,2219,46.38,69,1.40,77,1.56,4784,4930
22,05/10/1988,3,De Atacama,Chañaral,Chañaral,4047,57.65,2973,42.35,103,1.43,90,1.25,7020,7213
23,05/10/1988,3,De Atacama,Copiapo,Arauco,25148,54.63,20886,45.37,751,1.58,643,1.36,46034,47428
24,05/10/1988,3,De Atacama,Diego De Almagro,Chañaral,10279,68.80,4661,31.20,226,1.46,286,1.85,14940,15452
25,05/10/1988,3,De Atacama,Freirina,Huasco,1136,46.41,1312,53.59,41,1.62,47,1.85,2448,2536
