id,fecha,id_región,región,n_votos1,p_1,n_votos2,p_2,n_blancos,p_blancos,n_nulos,p_nulos,n_válidos,p_válidos,n_emitidos
1,30/07/1989,1,De Tarapaca,11681,0.07,147660,0.93,,,,,,,
2,30/07/1989,2,De Antofagasta,15780,0.08,179540,0.92,,,,,,,
3,30/07/1989,3,De Atacama,10670,0.11,90123,0.89,,,,,,,
4,30/07/1989,4,De Coquimbo,26269,0.12,201925,0.88,,,,,,,
5,30/07/1989,5,De Valparaíso,53907,0.07,666412,0.93,,,,,,,
6,30/07/1989,6,Del Libertador Bdo. O'Higgins,34456,0.10,321780,0.90,,,,,,,
7,30/07/1989,7,Del Maule,46720,0.11,382577,0.89,,,,,,,
8,30/07/1989,8,Del Biobio,92564,0.11,774111,0.89,,,,,,,
9,30/07/1989,9,De La Araucania,55889,0.15,322120,0.85,,,,,,,
10,30/07/1989,10,De Los Lagos,52713,0.12,404110,0.88,,,,,,,
11,30/07/1989,11,Aisen Del Gral. Carlos Ibañez,3733,0.10,32473,0.90,,,,,,,
12,30/07/1989,12,De Magallanes Y Antartica Ch.,6222,0.08,71805,0.92,,,,,,,
13,30/07/1989,13,Metropolitana,170913,0.06,2474804,0.94,,,,,,,
