id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,vuelta,id_región,región,id_provincia,provincia,comuna,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,válidos
53315,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Mixta,Evelyn Matthei Fornet,Evelyn Rose,Matthei,Fornet,Mujer,,Union Democrata Independiente,UDI,3859
53316,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Mixta,Michelle Bachelet Jeria,Veronica Michelle,Bachelet,Jeria,Mujer,Si,Partido Socialista De Chile,PS,7364
53317,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Mixta,Votos Nulos,,,,,,,,154
53318,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,3,Iquique,Alto Hospicio,Alto Hospicio,Mixta,Votos En Blanco,,,,,,,,51
53319,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Camiña,Camiña,Mixta,Evelyn Matthei Fornet,Evelyn Rose,Matthei,Fornet,Mujer,,Union Democrata Independiente,UDI,455
53320,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Camiña,Camiña,Mixta,Michelle Bachelet Jeria,Veronica Michelle,Bachelet,Jeria,Mujer,Si,Partido Socialista De Chile,PS,257
53321,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Camiña,Camiña,Mixta,Votos Nulos,,,,,,,,7
53322,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Camiña,Camiña,Mixta,Votos En Blanco,,,,,,,,2
53323,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Colchane,Colchane,Mixta,Evelyn Matthei Fornet,Evelyn Rose,Matthei,Fornet,Mujer,,Union Democrata Independiente,UDI,252
53324,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Colchane,Colchane,Mixta,Michelle Bachelet Jeria,Veronica Michelle,Bachelet,Jeria,Mujer,Si,Partido Socialista De Chile,PS,132
53325,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Colchane,Colchane,Mixta,Votos Nulos,,,,,,,,3
53326,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Colchane,Colchane,Mixta,Votos En Blanco,,,,,,,,2
53327,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Huara,Chiapa,Mixta,Evelyn Matthei Fornet,Evelyn Rose,Matthei,Fornet,Mujer,,Union Democrata Independiente,UDI,9
53328,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Huara,Chiapa,Mixta,Michelle Bachelet Jeria,Veronica Michelle,Bachelet,Jeria,Mujer,Si,Partido Socialista De Chile,PS,20
53329,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Huara,Chiapa,Mixta,Votos Nulos,,,,,,,,5
53330,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Huara,Chiapa,Mixta,Votos En Blanco,,,,,,,,1
53331,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Huara,Huara,Mixta,Evelyn Matthei Fornet,Evelyn Rose,Matthei,Fornet,Mujer,,Union Democrata Independiente,UDI,449
53332,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Huara,Huara,Mixta,Michelle Bachelet Jeria,Veronica Michelle,Bachelet,Jeria,Mujer,Si,Partido Socialista De Chile,PS,712
53333,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Huara,Huara,Mixta,Votos Nulos,,,,,,,,17
53334,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Huara,Huara,Mixta,Votos En Blanco,,,,,,,,9
53335,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,3,Iquique,Iquique,Iquique,Mixta,Evelyn Matthei Fornet,Evelyn Rose,Matthei,Fornet,Mujer,,Union Democrata Independiente,UDI,20860
53336,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,3,Iquique,Iquique,Iquique,Mixta,Michelle Bachelet Jeria,Veronica Michelle,Bachelet,Jeria,Mujer,Si,Partido Socialista De Chile,PS,24943
53337,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,3,Iquique,Iquique,Iquique,Mixta,Votos Nulos,,,,,,,,727
53338,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,3,Iquique,Iquique,Iquique,Mixta,Votos En Blanco,,,,,,,,268
53339,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Pica,Pica,Mixta,Evelyn Matthei Fornet,Evelyn Rose,Matthei,Fornet,Mujer,,Union Democrata Independiente,UDI,605
53340,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Pica,Pica,Mixta,Michelle Bachelet Jeria,Veronica Michelle,Bachelet,Jeria,Mujer,Si,Partido Socialista De Chile,PS,1018
53341,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Pica,Pica,Mixta,Votos Nulos,,,,,,,,23
53342,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Pica,Pica,Mixta,Votos En Blanco,,,,,,,,9
53343,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Pozo Almonte,Mamiña,Mixta,Evelyn Matthei Fornet,Evelyn Rose,Matthei,Fornet,Mujer,,Union Democrata Independiente,UDI,33
53344,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Pozo Almonte,Mamiña,Mixta,Michelle Bachelet Jeria,Veronica Michelle,Bachelet,Jeria,Mujer,Si,Partido Socialista De Chile,PS,100
53345,Presidencial,Presidente,15/12/2013,2013,2014,2018,2014 a 2018,2,1,De Tarapaca,52,Del Tamarugal,Pozo Almonte,Mamiña,Mixta,Votos Nulos,,,,,,,,6
