id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,vuelta,id_región,región,id_provincia,provincia,comuna,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,resultado,partido,sigla,válidos
1,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,1,Arica,Arica,Arica,Hombre,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,7065
2,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,1,Arica,Arica,Arica,Hombre,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,11549
3,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,1,Arica,Arica,Arica,Hombre,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,23230
4,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,1,Arica,Arica,Arica,Hombre,Votos Nulos ,,,,,,,,,561
5,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,1,Arica,Arica,Arica,Hombre,Votos En Blanco ,,,,,,,,,392
6,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,1,Arica,Arica,Arica,Mujer,Francisco Javier Errazuriz,Francisco Javier,Errazuriz,Talavera,Hombre,,,Independiente,INDEP,7916
7,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,1,Arica,Arica,Arica,Mujer,Hernan Buchi,Hernan,Buchi,Buc,Hombre,,,Independiente,INDEP,14237
8,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,1,Arica,Arica,Arica,Mujer,Patricio Aylwin,Patricio,Aylwin,Azocar,Hombre,SI,,Democrata Cristiano,DC,21326
9,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,1,Arica,Arica,Arica,Mujer,Votos Nulos ,,,,,,,,,1154
10,Presidencial,Presidente,14/12/1989,1989,1990,1994,1990 a 1994,1,1,De Tarapaca,1,Arica,Arica,Arica,Mujer,Votos En Blanco ,,,,,,,,,599
