zona,bandera,pais,boric,jadue,apruebodignidad,sichel,lavin,briones,desbordes,chilevamos,nulo,blanco,validos,total,v_lavin,v_briones,v_sichel,v_desbordes,v_boric,v_jadue
Africa,🇪🇬,Egipto,4,0,4,2,1,0,0,3,1,0,7,8,0,0,1,0,1,0
Africa,🇰🇪,Kenia,4,0,4,2,1,1,0,4,0,0,8,8,0,0,1,0,1,0
Africa,🇿🇦,Sudafrica,5,2,7,5,3,1,0,9,0,0,16,16,0,0,1,0,1,0
América,🇦🇷,Argentina,297,657,954,100,126,32,24,282,21,3,1236,1260,1,0,0,0,0,1
América,🇧🇴,Bolivia,30,25,55,26,56,9,9,100,3,1,155,159,1,0,0,0,1,0
América,🇧🇷,Brasil,58,101,159,34,25,12,5,76,2,0,235,237,0,0,1,0,0,1
América,🇨🇦,Canada,510,868,1378,98,80,53,18,249,7,2,1627,1636,0,0,1,0,0,1
América,🇨🇴,Colombia,37,9,46,15,10,7,1,33,0,0,79,79,0,0,1,0,1,0
América,🇨🇷,Costa Rica,46,46,92,18,11,7,5,41,0,0,133,133,0,0,1,0,0,0
América,🇨🇺,Cuba,12,28,40,0,0,0,0,0,0,0,40,40,0,0,0,0,0,1
América,🇪🇨,Ecuador,50,64,114,36,40,11,9,96,4,1,210,215,0,0,1,0,0,1
América,🇸🇻,El Salvador,6,8,14,10,12,4,2,28,0,0,42,42,1,0,0,0,0,1
América,🇺🇸,Estados Unidos,787,378,1165,391,276,228,43,938,20,4,2103,2127,0,0,1,0,1,0
América,🇬🇹,Guatemala,14,17,31,11,23,11,0,45,1,0,76,77,1,0,0,0,0,1
América,🇭🇹,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
América,🇭🇳,Honduras,3,4,7,0,2,1,1,4,0,0,11,11,1,0,0,0,0,1
América,🇲🇽,Mexico,100,127,227,21,19,18,2,60,1,1,287,289,0,0,1,0,0,1
América,🇳🇮,Nicaragua,13,7,20,1,9,0,0,10,0,0,30,30,1,0,0,0,1,0
América,🇵🇦,Panama,30,18,48,36,24,11,4,75,1,0,123,124,0,0,1,0,1,0
América,🇵🇾,Paraguay,16,18,34,12,34,5,0,51,3,0,85,88,0,0,1,0,0,1
América,🇵🇪,Peru,98,39,137,83,60,22,10,175,6,0,312,318,0,0,1,0,1,0
América,🇩🇴,Rep. Domincana,15,9,24,5,10,3,2,20,0,0,44,44,1,0,0,0,1,0
América,🇺🇾,Uruguay,33,57,90,13,9,5,1,28,4,0,118,122,0,0,1,0,0,1
América,🇻🇪,Venezuela,17,47,64,16,24,13,1,54,0,0,118,118,1,0,0,0,0,1
Asia,🇨🇳,China,40,8,48,24,16,16,3,59,2,0,107,109,0,0,1,0,1,0
Asia,🇰🇷,Corea del Sur,13,18,31,2,5,0,0,7,0,0,38,38,1,0,0,0,0,1
Asia,🇱🇧,El Líbano,1,1,2,3,4,1,2,10,2,0,12,14,1,0,0,0,0,0
Asia,🇦🇪,Emiratos Arabes,6,2,8,2,0,2,0,4,0,0,12,12,0,0,0,0,1,0
Asia,🇵🇭,Filipinas,2,1,3,2,2,0,0,4,0,0,7,7,2,0,0,0,1,0
Asia,🇮🇳,India,7,1,8,1,1,0,1,3,1,0,11,12,0,0,0,0,1,0
Asia,🇮🇩,Indonesia,4,0,4,2,1,0,0,3,0,0,7,7,0,0,1,0,1,0
Asia,🇮🇱,Israel,14,2,16,8,7,7,3,25,1,1,41,43,0,0,1,0,1,0
Asia,🇯🇵,Japón,29,20,49,3,0,7,1,11,2,0,60,62,0,1,0,0,1,0
Asia,🇯🇴,Jordania,1,0,1,1,2,0,0,3,1,0,4,5,1,0,0,0,1,0
Asia,🇲🇾,Malasia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia,🇸🇬,Singapur,9,5,14,10,5,9,3,27,0,0,41,41,0,0,1,0,1,0
Asia,🇹🇭,Tailandia,6,6,12,3,2,1,0,6,0,0,18,18,0,0,1,0,0,0
Asia,🇻🇳,Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europa,🇩🇪,Alemania,656,541,1197,82,38,51,12,183,17,5,1380,1402,0,0,1,0,1,0
Europa,🇦🇹,Austria,40,58,98,5,17,3,1,26,3,0,124,127,1,0,0,0,0,1
