id,tipo,cargo,unidad,nombre,pacto,partido,n_votos,p_votos,sexo,ganador
1,Primarias,Alcalde,Antofagasta,Juan Montenegro,Chile Vamos,EVO,1.245,"24,19",0,0
2,Primarias,Alcalde,Antofagasta,Luis Aguilera,Chile Vamos,RN,1.884,"36,61",0,0
3,Primarias,Alcalde,Antofagasta,Roberto Soto,Chile Vamos,UDI,2.017,"39,20",0,1
4,Primarias,Alcalde,Cerrillos,Guillermo Reeves,Chile Vamos,EVO,989,"34,56",0,0
5,Primarias,Alcalde,Cerrillos,Alejandro Almendares,Chile Vamos,Ind,1.873,"65,44",0,1
6,Primarias,Alcalde,Chiguayante,Mayerlin Suárez,Ecologistas e independientes,PEV,520,"48,60",1,0
7,Primarias,Alcalde,Chiguayante,Ximena Larenas,Ecologistas e independientes,PEV,550,"51,40",1,1
8,Primarias,Alcalde,Chillán Viejo,Rodrigo Arzola,Chile Vamos,Ind,523,"54,71",0,1
9,Primarias,Alcalde,Chillán Viejo,Cecilia Ortiz,Chile Vamos,Ind,176,"18,41",1,0
10,Primarias,Alcalde,Chillán Viejo,Luis Parejas,Chile Vamos,UDI,257,"26,88",0,0
11,Primarias,Alcalde,Coltauco,Félix Sánchez,Chile Vamos,RN,1.222,"51,63",0,1
12,Primarias,Alcalde,Coltauco,Marcial Abarca,Chile Vamos,UDI,1.145,"48,37",0,0
13,Primarias,Alcalde,Concón,Tarek Giacamán,Chile Vamos,EVO,1.355,"34,65",0,1
14,Primarias,Alcalde,Concón,Gabriela Orfali,Chile Vamos,RN,838,"21,43",1,0
15,Primarias,Alcalde,Concón,Bernando Guerra,Chile Vamos,UDI,448,"11,46",0,0
16,Primarias,Alcalde,Copiapó,Johanna Fernández,Chile Vamos,EVO,593,"18,64",1,0
17,Primarias,Alcalde,Copiapó,Maximiliano Barrionuevo,Chile Vamos,Ind,935,"29,38",0,1
18,Primarias,Alcalde,Copiapó,Manuel Corrales,Chile Vamos,Ind,878,"27,59",0,0
19,Primarias,Alcalde,Coquimbo,Guido Hernández,Chile Vamos,RN,1.310,"43,02",0,0
20,Primarias,Alcalde,Coquimbo,Pedro Castillo,Chile Vamos,UDI,1.735,"56,98",0,1
21,Primarias,Alcalde,Corral,Jesica Barrientos,Chile Vamos,EVO,489,"73,87",1,1
22,Primarias,Alcalde,Corral,Rubén Pérez,Chile Vamos,UDI,173,"26,13",0,0
23,Primarias,Alcalde,Coyhaique,Verónica Figueroa,Chile Vamos,EVO,952,"25,23",1,0
24,Primarias,Alcalde,Coyhaique,Eugenio Canales,Chile Vamos,Ind,1.552,"41,13",0,1
25,Primarias,Alcalde,Coyhaique,Ana María Mora,Chile Vamos,RN,1.269,"33,63",1,0
26,Primarias,Alcalde,Curicó,Isabel Garcés,Chile Vamos,Ind,1.876,"48,38",1,0
27,Primarias,Alcalde,Curicó,Macarena Pons,Chile Vamos,Ind,2.002,"51,62",1,1
28,Primarias,Alcalde,Iquique,Natan Olivos,Chile Vamos,EVO,1.093,"18,92",0,0
29,Primarias,Alcalde,Iquique,Daniela Solari,Chile Vamos,Ind,2.772,"47,98",1,1
30,Primarias,Alcalde,Iquique,Juan Lima,Chile Vamos,UDI,1.913,"33,11",0,0
31,Primarias,Alcalde,La Cisterna,Jorge Pomar,Chile Vamos,EVO,362,"21,74",0,0
32,Primarias,Alcalde,La Cisterna,Bernardo Suárez,Chile Vamos,RN,633,"38,02",0,0
33,Primarias,Alcalde,La Cisterna,Patricia Acevedo,Chile Vamos,UDI,670,"40,24",1,1
34,Primarias,Alcalde,Lo Barnechea,Consuelo Alvial,Chile Vamos,RN,1.754,"19,30",1,0
35,Primarias,Alcalde,Lo Barnechea,Juan Lira,Chile Vamos,UDI,7.333,"80,70",0,1
36,Primarias,Alcalde,Lonquimay,Juan Fuentes,Chile Vamos,Ind,866,"48,79",0,0
37,Primarias,Alcalde,Lonquimay,José Barría,Chile Vamos,Ind,909,"51,21",0,1
38,Primarias,Alcalde,Machalí,Macarena Matas,Chile Vamos,RN,507,"33,25",1,0
39,Primarias,Alcalde,Machalí,Héctor Labbé,Chile Vamos,UDI,1.018,"66,75",0,1
40,Primarias,Alcalde,Maipú,María Teresa Álvarez,Frente Amplio,Comunes,1.660,"35,03",1,0
41,Primarias,Alcalde,Maipú,Viviana Delgado,Ecologistas e independientes,IND,1.946,"76,19",1,1
42,Primarias,Alcalde,Maipú,Norma Ibañez,Ecologistas e independientes,IND,608,"23,81",1,0
43,Primarias,Alcalde,Maipú,Tomás Vodanovic,Frente Amplio,RD,3.079,"64,97",0,1
44,Primarias,Alcalde,Navidad,Nibaldo Maturana,Chile Vamos,EVO,110,"15,85",0,0
