id,tipo,cargo,fecha,año,periodo_inicio,periodo_fin,periodo,id_región,región,circunscripción_senatorial,distrito,comuna,id_circunscripción,circunscripción,sexo_mesa,candidato,nombre,apellido1,apellido2,sexo,resultado,partido,sigla,lista,válidos
1,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Palma Fourcade Anibal,Anibal Francisco,Palma,Fourcade,Hombre,,Independiente,INDEP,A,7205
2,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Palza Corvacho Humberto,Humberto,Palza,Corvacho,Hombre,Si,Democrata Cristiano,PDC,A,18752
3,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Abusleme Alfaro Gabriel,Gabriel Eduardo,Abusleme,Alfaro,Hombre,,Renovacion Nacional,RN,B,2268
4,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Lagos Cosgrove Julio,Julio Eloy,Lagos,Cosgrove,Hombre,Si,Independiente,INDEP,B,8245
5,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Dougnac Rodriguez Fernando,Fernando Sergio,Dougnac,Rodriguez,Hombre,,Independiente,INDEP,CI,868
6,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Soria Quiroga Jorge Alejandro,Jorge Alejandro,Soria,Quiroga,Hombre,,Independiente,INDEP,CI,1574
7,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Baraquett Jorratt Yulia,Julia,Baraquett,Jorratt,Mujer,,Independiente,INDEP,E,540
8,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Pino Parraguez Raquel,Raquel Maria,Pino,Parraguez,Mujer,,Independiente,INDEP,E,1193
9,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Votos Nulos, ,,,,,  ,   ,,1270
10,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,1,Arica,Hombre,Votos En Blanco, ,,,,,  ,   ,,885
11,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Palma Fourcade Anibal,Anibal Francisco,Palma,Fourcade,Hombre,,Independiente,INDEP,A,6860
12,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Palza Corvacho Humberto,Humberto,Palza,Corvacho,Hombre,Si,Democrata Cristiano,PDC,A,18278
13,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Abusleme Alfaro Gabriel,Gabriel Eduardo,Abusleme,Alfaro,Hombre,,Renovacion Nacional,RN,B,3100
14,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Lagos Cosgrove Julio,Julio Eloy,Lagos,Cosgrove,Hombre,Si,Independiente,INDEP,B,9633
15,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Dougnac Rodriguez Fernando,Fernando Sergio,Dougnac,Rodriguez,Hombre,,Independiente,INDEP,CI,779
16,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Soria Quiroga Jorge Alejandro,Jorge Alejandro,Soria,Quiroga,Hombre,,Independiente,INDEP,CI,1360
17,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Baraquett Jorratt Yulia,Julia,Baraquett,Jorratt,Mujer,,Independiente,INDEP,E,625
18,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Pino Parraguez Raquel,Raquel Maria,Pino,Parraguez,Mujer,,Independiente,INDEP,E,1633
19,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Votos Nulos, ,,,,,  ,   ,,1751
20,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Arica,2,Arica,Mujer,Votos En Blanco, ,,,,,  ,   ,,1213
21,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Hombre,Palma Fourcade Anibal,Anibal Francisco,Palma,Fourcade,Hombre,,Independiente,INDEP,A,3
22,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Hombre,Palza Corvacho Humberto,Humberto,Palza,Corvacho,Hombre,Si,Democrata Cristiano,PDC,A,25
23,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Hombre,Abusleme Alfaro Gabriel,Gabriel Eduardo,Abusleme,Alfaro,Hombre,,Renovacion Nacional,RN,B,1
24,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Hombre,Lagos Cosgrove Julio,Julio Eloy,Lagos,Cosgrove,Hombre,Si,Independiente,INDEP,B,18
25,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Hombre,Dougnac Rodriguez Fernando,Fernando Sergio,Dougnac,Rodriguez,Hombre,,Independiente,INDEP,CI,2
26,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Hombre,Soria Quiroga Jorge Alejandro,Jorge Alejandro,Soria,Quiroga,Hombre,,Independiente,INDEP,CI,5
27,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Hombre,Baraquett Jorratt Yulia,Julia,Baraquett,Jorratt,Mujer,,Independiente,INDEP,E,2
28,Parlamentaria,Senador,14/12/1989,1989,1990,1994,1990-1994,1,De Tarapaca,1,1,Camarones,3,Camarones,Hombre,Pino Parraguez Raquel,Raquel Maria,Pino,Parraguez,Mujer,,Independiente,INDEP,E,3
