nuevo,recuperado,muerte,fecha,cum_nuevo,cum_recuperado,cum_muerte
2,0,0,03/03/2020,2,0,0
1,0,0,04/03/2020,3,0,0
1,0,0,05/03/2020,4,0,0
1,0,0,06/03/2020,5,0,0
2,0,0,07/03/2020,7,0,0
3,0,0,08/03/2020,10,0,0
3,0,0,09/03/2020,13,0,0
4,0,0,10/03/2020,17,0,0
6,0,0,11/03/2020,23,0,0
10,0,0,12/03/2020,33,0,0
10,0,0,13/03/2020,43,0,0
18,0,0,14/03/2020,61,0,0
14,0,0,15/03/2020,75,0,0
81,0,0,16/03/2020,156,0,0
45,0,0,17/03/2020,201,0,0
37,0,0,18/03/2020,238,0,0
104,5,0,19/03/2020,342,5,0
92,1,0,20/03/2020,434,6,0
103,2,1,21/03/2020,537,8,1
95,0,0,22/03/2020,632,8,1
114,3,0,23/03/2020,746,11,1
176,6,1,24/03/2020,922,17,2
220,5,1,25/03/2020,1142,22,3
164,11,1,26/03/2020,1306,33,4
304,10,1,27/03/2020,1610,43,5
299,18,1,28/03/2020,1909,61,6
230,14,1,29/03/2020,2139,75,7
310,81,1,30/03/2020,2449,156,8
289,0,4,31/03/2020,2738,156,12
293,78,4,01/04/2020,3031,234,16
373,101,2,02/04/2020,3404,335,18
333,92,4,03/04/2020,3737,427,22
424,101,5,04/04/2020,4161,528,27
310,70,7,05/04/2020,4471,598,34
344,130,3,06/04/2020,4815,728,37
301,170,6,07/04/2020,5116,898,43
430,217,5,08/04/2020,5546,1115,48
426,159,9,09/04/2020,5972,1274,57
529,297,8,10/04/2020,6501,1571,65
426,293,8,11/04/2020,6927,1864,73
286,195,7,12/04/2020,7213,2059,80
312,308,2,13/04/2020,7525,2367,82
0,279,0,14/04/2020,7525,2646,82
