date,location,new_cases,new_deaths,total_cases,total_deaths,countryid,hundred_cases,day,total_today,date_today,day_today
29/03/2020,Afghanistan,15,1,106,3,1,1,1,521,22016,14
30/03/2020,Afghanistan,8,1,114,4,1,1,2,521,22016,14
31/03/2020,Afghanistan,27,0,141,4,1,1,3,521,22016,14
01/04/2020,Afghanistan,25,0,166,4,1,1,4,521,22016,14
02/04/2020,Afghanistan,26,0,192,4,1,1,5,521,22016,14
03/04/2020,Afghanistan,43,0,235,4,1,1,6,521,22016,14
04/04/2020,Afghanistan,0,0,235,4,1,1,7,521,22016,14
05/04/2020,Afghanistan,35,1,270,5,1,1,8,521,22016,14
06/04/2020,Afghanistan,29,2,299,7,1,1,9,521,22016,14
07/04/2020,Afghanistan,38,0,337,7,1,1,10,521,22016,14
08/04/2020,Afghanistan,30,4,367,11,1,1,11,521,22016,14
09/04/2020,Afghanistan,56,3,423,14,1,1,12,521,22016,14
10/04/2020,Afghanistan,61,1,484,15,1,1,13,521,22016,14
11/04/2020,Afghanistan,37,0,521,15,1,1,14,521,22016,14
24/03/2020,Albania,11,2,100,4,2,1,1,416,22016,19
25/03/2020,Albania,23,1,123,5,2,1,2,416,22016,19
26/03/2020,Albania,23,0,146,5,2,1,3,416,22016,19
27/03/2020,Albania,28,1,174,6,2,1,4,416,22016,19
28/03/2020,Albania,12,3,186,9,2,1,5,416,22016,19
29/03/2020,Albania,11,1,197,10,2,1,6,416,22016,19
30/03/2020,Albania,15,0,212,10,2,1,7,416,22016,19
31/03/2020,Albania,11,2,223,12,2,1,8,416,22016,19
01/04/2020,Albania,20,3,243,15,2,1,9,416,22016,19
02/04/2020,Albania,16,0,259,15,2,1,10,416,22016,19
03/04/2020,Albania,18,1,277,16,2,1,11,416,22016,19
04/04/2020,Albania,27,1,304,17,2,1,12,416,22016,19
05/04/2020,Albania,29,2,333,19,2,1,13,416,22016,19
06/04/2020,Albania,28,2,361,21,2,1,14,416,22016,19
07/04/2020,Albania,16,1,377,22,2,1,15,416,22016,19
08/04/2020,Albania,6,0,383,22,2,1,16,416,22016,19
09/04/2020,Albania,17,0,400,22,2,1,17,416,22016,19
10/04/2020,Albania,9,1,409,23,2,1,18,416,22016,19
11/04/2020,Albania,7,0,416,23,2,1,19,416,22016,19
23/03/2020,Algeria,8,5,102,15,3,1,1,1761,22016,20
24/03/2020,Algeria,87,2,189,17,3,1,2,1761,22016,20
25/03/2020,Algeria,42,0,231,17,3,1,3,1761,22016,20
26/03/2020,Algeria,33,0,264,17,3,1,4,1761,22016,20
27/03/2020,Algeria,41,4,305,21,3,1,5,1761,22016,20
28/03/2020,Algeria,0,0,305,21,3,1,6,1761,22016,20
29/03/2020,Algeria,104,5,409,26,3,1,7,1761,22016,20
30/03/2020,Algeria,45,3,454,29,3,1,8,1761,22016,20
31/03/2020,Algeria,57,2,511,31,3,1,9,1761,22016,20
01/04/2020,Algeria,73,4,584,35,3,1,10,1761,22016,20
02/04/2020,Algeria,263,23,847,58,3,1,11,1761,22016,20
03/04/2020,Algeria,0,0,847,58,3,1,12,1761,22016,20
04/04/2020,Algeria,139,25,986,83,3,1,13,1761,22016,20
05/04/2020,Algeria,314,47,1300,130,3,1,14,1761,22016,20
06/04/2020,Algeria,20,22,1320,152,3,1,15,1761,22016,20
07/04/2020,Algeria,103,21,1423,173,3,1,16,1761,22016,20
08/04/2020,Algeria,45,21,1468,194,3,1,17,1761,22016,20
09/04/2020,Algeria,104,11,1572,205,3,1,18,1761,22016,20
10/04/2020,Algeria,94,30,1666,235,3,1,19,1761,22016,20
11/04/2020,Algeria,95,21,1761,256,3,1,20,1761,22016,20
23/03/2020,Andorra,25,0,113,0,4,1,1,601,22016,20
24/03/2020,Andorra,20,0,133,0,4,1,2,601,22016,20
25/03/2020,Andorra,31,0,164,0,4,1,3,601,22016,20
26/03/2020,Andorra,24,0,188,0,4,1,4,601,22016,20
27/03/2020,Andorra,36,3,224,3,4,1,5,601,22016,20
28/03/2020,Andorra,43,0,267,3,4,1,6,601,22016,20
29/03/2020,Andorra,41,1,308,4,4,1,7,601,22016,20
30/03/2020,Andorra,26,2,334,6,4,1,8,601,22016,20
31/03/2020,Andorra,36,2,370,8,4,1,9,601,22016,20
01/04/2020,Andorra,6,4,376,12,4,1,10,601,22016,20
02/04/2020,Andorra,14,2,390,14,4,1,11,601,22016,20
03/04/2020,Andorra,38,1,428,15,4,1,12,601,22016,20
04/04/2020,Andorra,11,1,439,16,4,1,13,601,22016,20
05/04/2020,Andorra,27,1,466,17,4,1,14,601,22016,20
06/04/2020,Andorra,35,1,501,18,4,1,15,601,22016,20
07/04/2020,Andorra,25,3,526,21,4,1,16,601,22016,20
08/04/2020,Andorra,19,1,545,22,4,1,17,601,22016,20
09/04/2020,Andorra,19,1,564,23,4,1,18,601,22016,20
10/04/2020,Andorra,19,2,583,25,4,1,19,601,22016,20
11/04/2020,Andorra,18,1,601,26,4,1,20,601,22016,20
20/03/2020,Argentina,31,1,128,3,8,1,1,1975,22016,23
21/03/2020,Argentina,30,0,158,3,8,1,2,1975,22016,23
22/03/2020,Argentina,67,1,225,4,8,1,3,1975,22016,23
23/03/2020,Argentina,41,0,266,4,8,1,4,1975,22016,23
24/03/2020,Argentina,35,0,301,4,8,1,5,1975,22016,23
25/03/2020,Argentina,86,2,387,6,8,1,6,1975,22016,23
26/03/2020,Argentina,115,2,502,8,8,1,7,1975,22016,23
27/03/2020,Argentina,87,4,589,12,8,1,8,1975,22016,23
28/03/2020,Argentina,101,5,690,17,8,1,9,1975,22016,23
29/03/2020,Argentina,55,2,745,19,8,1,10,1975,22016,23
30/03/2020,Argentina,75,1,820,20,8,1,11,1975,22016,23
31/03/2020,Argentina,146,4,966,24,8,1,12,1975,22016,23
01/04/2020,Argentina,0,0,966,24,8,1,13,1975,22016,23
02/04/2020,Argentina,167,7,1133,31,8,1,14,1975,22016,23
03/04/2020,Argentina,0,3,1133,34,8,1,15,1975,22016,23
04/04/2020,Argentina,132,3,1265,37,8,1,16,1975,22016,23
05/04/2020,Argentina,186,6,1451,43,8,1,17,1975,22016,23
06/04/2020,Argentina,103,3,1554,46,8,1,18,1975,22016,23
07/04/2020,Argentina,74,7,1628,53,8,1,19,1975,22016,23
08/04/2020,Argentina,87,7,1715,60,8,1,20,1975,22016,23
09/04/2020,Argentina,80,5,1795,65,8,1,21,1975,22016,23
10/04/2020,Argentina,99,14,1894,79,8,1,22,1975,22016,23
11/04/2020,Argentina,81,3,1975,82,8,1,23,1975,22016,23
19/03/2020,Armenia,37,0,115,0,9,1,1,937,22016,24
20/03/2020,Armenia,7,0,122,0,9,1,2,937,22016,24
21/03/2020,Armenia,14,0,136,0,9,1,3,937,22016,24
22/03/2020,Armenia,24,0,160,0,9,1,4,937,22016,24
23/03/2020,Armenia,30,0,190,0,9,1,5,937,22016,24
24/03/2020,Armenia,4,0,194,0,9,1,6,937,22016,24
25/03/2020,Armenia,71,0,265,0,9,1,7,937,22016,24
26/03/2020,Armenia,25,0,290,0,9,1,8,937,22016,24
27/03/2020,Armenia,39,1,329,1,9,1,9,937,22016,24
28/03/2020,Armenia,43,0,372,1,9,1,10,937,22016,24
29/03/2020,Armenia,52,2,424,3,9,1,11,937,22016,24
30/03/2020,Armenia,0,0,424,3,9,1,12,937,22016,24
31/03/2020,Armenia,58,0,482,3,9,1,13,937,22016,24
01/04/2020,Armenia,50,0,532,3,9,1,14,937,22016,24
02/04/2020,Armenia,39,0,571,3,9,1,15,937,22016,24
03/04/2020,Armenia,92,1,663,4,9,1,16,937,22016,24
04/04/2020,Armenia,73,3,736,7,9,1,17,937,22016,24
05/04/2020,Armenia,34,0,770,7,9,1,18,937,22016,24
06/04/2020,Armenia,52,0,822,7,9,1,19,937,22016,24
07/04/2020,Armenia,11,1,833,8,9,1,20,937,22016,24
08/04/2020,Armenia,20,0,853,8,9,1,21,937,22016,24
09/04/2020,Armenia,28,1,881,9,9,1,22,937,22016,24
10/04/2020,Armenia,40,1,921,10,9,1,23,937,22016,24
11/04/2020,Armenia,16,1,937,11,9,1,24,937,22016,24
10/03/2020,Australia,20,0,100,3,11,1,1,6238,22016,33
11/03/2020,Australia,12,0,112,3,11,1,2,6238,22016,33
12/03/2020,Australia,14,0,126,3,11,1,3,6238,22016,33
13/03/2020,Australia,30,0,156,3,11,1,4,6238,22016,33
14/03/2020,Australia,41,0,197,3,11,1,5,6238,22016,33
15/03/2020,Australia,52,0,249,3,11,1,6,6238,22016,33
16/03/2020,Australia,49,2,298,5,11,1,7,6238,22016,33
17/03/2020,Australia,77,0,375,5,11,1,8,6238,22016,33
18/03/2020,Australia,79,0,454,5,11,1,9,6238,22016,33
19/03/2020,Australia,111,1,565,6,11,1,10,6238,22016,33
20/03/2020,Australia,144,0,709,6,11,1,11,6238,22016,33
21/03/2020,Australia,165,1,874,7,11,1,12,6238,22016,33
22/03/2020,Australia,224,0,1098,7,11,1,13,6238,22016,33
23/03/2020,Australia,611,0,1709,7,11,1,14,6238,22016,33
24/03/2020,Australia,114,0,1823,7,11,1,15,6238,22016,33
25/03/2020,Australia,600,1,2423,8,11,1,16,6238,22016,33
26/03/2020,Australia,376,3,2799,11,11,1,17,6238,22016,33
27/03/2020,Australia,367,2,3166,13,11,1,18,6238,22016,33
28/03/2020,Australia,212,0,3378,13,11,1,19,6238,22016,33
29/03/2020,Australia,431,1,3809,14,11,1,20,6238,22016,33
30/03/2020,Australia,284,2,4093,16,11,1,21,6238,22016,33
31/03/2020,Australia,464,3,4557,19,11,1,22,6238,22016,33
01/04/2020,Australia,150,1,4707,20,11,1,23,6238,22016,33
02/04/2020,Australia,269,1,4976,21,11,1,24,6238,22016,33
03/04/2020,Australia,248,2,5224,23,11,1,25,6238,22016,33
04/04/2020,Australia,324,7,5548,30,11,1,26,6238,22016,33
05/04/2020,Australia,139,4,5687,34,11,1,27,6238,22016,33
06/04/2020,Australia,57,2,5744,36,11,1,28,6238,22016,33
07/04/2020,Australia,100,6,5844,42,11,1,29,6238,22016,33
08/04/2020,Australia,112,3,5956,45,11,1,30,6238,22016,33
09/04/2020,Australia,96,5,6052,50,11,1,31,6238,22016,33
10/04/2020,Australia,100,2,6152,52,11,1,32,6238,22016,33
11/04/2020,Australia,86,2,6238,54,11,1,33,6238,22016,33
09/03/2020,Austria,3,0,102,0,12,1,1,13560,22016,34
10/03/2020,Austria,29,0,131,0,12,1,2,13560,22016,34
11/03/2020,Austria,51,0,182,0,12,1,3,13560,22016,34
12/03/2020,Austria,64,0,246,0,12,1,4,13560,22016,34
13/03/2020,Austria,115,1,361,1,12,1,5,13560,22016,34
14/03/2020,Austria,143,0,504,1,12,1,6,13560,22016,34
15/03/2020,Austria,151,0,655,1,12,1,7,13560,22016,34
16/03/2020,Austria,205,0,860,1,12,1,8,13560,22016,34
17/03/2020,Austria,156,2,1016,3,12,1,9,13560,22016,34
18/03/2020,Austria,316,0,1332,3,12,1,10,13560,22016,34
