countryname,countrycode,date,c1_schoolclosing,c1_flag,c2_workplaceclosing,c2_flag,c3_cancelpublicevents,c3_flag,c4_restrictionsongatherings,c4_flag,c5_closepublictransport,c5_flag,c6_stayathomerequirements,c6_flag,c7_restrictionsoninternalmovemen,c7_flag,c8_internationaltravelcontrols,e1_incomesupport,e1_flag,e2_debtcontractrelief,e3_fiscalmeasures,e4_internationalsupport,h1_publicinformationcampaigns,h1_flag,h2_testingpolicy,h3_contacttracing,h4_emergencyinvestmentinhealthca,h5_investmentinvaccines,m1_wildcard,confirmedcases,confirmeddeaths,stringencyindex,stringencyindexfordisplay,legacystringencyindex,legacystringencyindexfordisplay
Aruba,ABW,20200101,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Afghanistan,AFG,20200101,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Angola,AGO,20200101,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Albania,ALB,20200101,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Andorra,AND,20200101,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
United Arab Emirates,ARE,20200101,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,,0,0,0,0,,0,0,0,0,0,0
Argentina,ARG,20200101,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Australia,AUS,20200101,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,,0,0,0,0,,0,0,0,0,0,0
Austria,AUT,20200101,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,1,,0,0,,0,0,0,0,0,0
Azerbaijan,AZE,20200101,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Burundi,BDI,20200101,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Belgium,BEL,20200101,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Burkina Faso,BFA,20200101,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
