id,partido,partido_full,sigla,estado,constituido,tramite,formacion,fecha_constitucion,presidente,notas,militantes
15,Partido Comunista,Partido Comunista,PC,Constituido,1,0,0,28-05-2010,G. Teillier,,47299
9,Partido Socialista,Partido Socialista,PS,Constituido,1,0,0,19-12-1990,A. Elizalde,,43895
18,Renovación Nacional,Renovación Nacional,RN,Constituido,1,0,0,08-02-1988,R. Prohens (s),,42135
16,Unión Demócrata Independiente,Unión Demócrata Independiente,UDI,Constituido,1,0,0,03-05-1989,J. Macaya,,41301
7,Partido Demócrata Cristiano,Partido Demócrata Cristiano,PDC,Constituido,1,0,0,02-05-1988,C. Frei (s),,34237
13,Partido Por la Democracia,Partido Por la Democracia,PPD,Constituido,1,0,0,09-05-1988,H. Muñoz,,32898
6,Revolución Democrática,Revolución Democrática,RD,Constituido,1,0,0,22-06-2016,M. Portuguez,,31284
12,Partido Radical,Partido Radical,PR,Constituido,1,0,0,18-08-1994,C. Maldonado,,29293
4,Partido Progresista,Partido Progresista,PRO,Constituido,1,0,0,08-05-2018,C. Lagos,,28597
19,Partido Regionalista Independiente,Partido Regionalista Independiente Demócrata,PRI,Constituido,1,0,0,06-06-2018,R. Caramori,,22375
3,Evolución Política,Evolución Política,EVO,Constituido,1,0,0,13-04-2016,A. Molina,,20595
17,Partido Humanista,Partido Humanista,PH,Constituido,1,0,0,05-06-2014,C. Valenzuela,,18050
11,Ciudadanos,Ciudadanos,CIU,Constituido,1,0,0,09-07-2018,I. Gómez,,17805
14,Partido Igualdad,Partido Igualdad,PI,Constituido,1,0,0,09-07-2018,G. González,,17494
1,Partido Republicano,Partido Republicano,REP,Constituido,1,0,0,23-01-2020,JA. Kast,,16157
8,Partido Ecologista Verde,Partido Ecologista Verde,PEV,Constituido,1,0,0,09-07-2019,F. González,,15667
2,Federación Regionalista Verde Social,Federación Regionalista Verde Social,FRVS,Constituido,1,0,0,25-04-2017,J. Mulet,,15583
25,Partido Unión Patriótica,Partido Unión Patriótica,UPA,Constituido,1,0,0,05-02-2020,E. Artés,,14114
22,Partido Comunes,Partido Comunes,COM,Constituido,1,0,0,08-05-2018,J. Ramírez,,13640
10,Partido Liberal de Chile,Partido Liberal de Chile,PL,Constituido,1,0,0,13-11-2018,L. Ramos,,10912
20,Izquierda Anticapitalista,Izquierda Anticapitalista de los Trabajadores,IAT,Constituido,1,0,0,13-04-2018,J. Gamboa,,10852
21,Partido Convergencia Social,Partido Convergencia Social,CS,Constituido,1,0,0,09-03-2020,A. Arellano,,9167
23,Partido Conservador Cristiano,Partido Conservador Cristiano,PCC,Constituido,1,0,0,30-10-2020,A. Varela,,3301
26,Partido Nacional Ciudadano,Partido Nacional Ciudadano,PNC,Constituido,1,0,0,13-04-2020,R. Rubeska,,2521
5,Nuevo Tiempo,Nuevo Tiempo,NT,Constituido,1,0,0,10-07-2019,J. Cortés,Evangelico,1604
24,Partido Nueva Clase Media,Partido Nueva Clase Media,NCM,Constituido,1,0,0,16-04-2020,E. Salas,,1604
38,Centro Unido,Centro Unido,CU,Constituido,1,1,0,,C. Contreras,,
27,Partido Alternativa Feminista,Partido Alternativa Feminista,PAF,En Formación,0,0,1,,R. Moreno,,
28,Mov. Independientes del Norte,Partido Movimiento Independientes del Norte,MIN,En Formación,0,0,1,,G. Carrasco,,
29,Partido Con Todos,Partido Con Todos,Todxs,En Formación,0,0,1,,J. Hamilton,,
30,Partido por la Representación Ciudadana,Partido Fuerza Común,FC,En Formación,0,0,1,,F. Atria,,
31,Partido Demócrata,Partido Demócrata,PD,En Formación,0,0,1,,A. Flores,,
32,Partido Libertario de Chile,Partido Libertario de Chile,PLIB,En Formación,0,0,1,,S. Bravo,,
33,Partido Por el Buen Vivir de Chile,Partido Por el Buen Vivir de Chile,PBVCh,En Formación,0,0,1,,D. Ancalao,,
34,Partido Fuerza Cultural,Partido Fuerza Cultural,PFC,En Formación,0,0,1,,S. Milos,,
35,Convergencia Nacional de Chile,Convergencia Nacional de Chile,CN,En Formación,0,0,0,,M. Tafireño,,
36,"Mov. Tierra, el Trabajo y la Libertad","Movimiento por la Tierra, el Trabajo y la Libertad",MTT,En Trámite,0,1,0,,P. Gutiérrez,,
37,Partido de la Gente,Partido de la Gente,PG,En Trámite,0,1,0,,L. Moreno,,
39,Fuerza Nacional,Fuerza Nacional,FN,En Trámite,0,1,0,,R. Meza,,
40,Patriotas por Chile,Patriotas por Chile,PPCh,En Trámite,0,1,0,,C. Slater,,
