date,house,n,method,prob,p1,p2,ptotal,nsnr,total,pregunta
16/11/2019,Cadem,704,phone,0,60.00,35.00,95.00,5.00,100.00,"Ahora, Ud. preferiría que la Constitución sea cambiada"
17/11/2019,Activa Research,2000,online,0,63.50,24.40,87.90,5.90,93.80,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
22/11/2019,Cadem,706,phone,0,62.00,33.00,95.00,5.00,100.00,"Ahora, Ud. preferiría que la Constitución sea cambiada…"
26/11/2019,Activa Research,1159,online,0,47.40,26.50,73.90,9.70,83.60,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
26/11/2019,Criteria Research,1014,online,0,51.00,32.00,83.00,10.00,93.00,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
26/11/2019,Activa Research,598,online,1,61.70,25.20,86.90,4.30,91.20,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
12/12/2019,Coes,1215,face to face,0,51.40,38.80,90.20,9.80,100.00,¿Qué tipo de órgano debería redactar la nueva Constitución? ¿Qué votará?
26/12/2019,Activa Research,1030,online,0,53.70,23.70,77.40,9.60,87.00,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
26/12/2019,Activa Research,500,online,1,62.90,24.40,87.30,4.10,91.40,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
03/01/2020,Cadem,709,phone,0,51.00,43.00,94.00,6.00,100.00,¿Qué tipo de órgano debiera redactar la Nueva Constitución?
06/01/2020,CEP,1496,face to face,0,44.00,37.00,81.00,19.00,100.00,¿usted preferiría que la hiciera solo un grupo de personas elegidas especialmente para esto o un grupo que combinara parlamentarios y personas elegidas especialmente para esto?
10/01/2020,Cadem,707,phone,0,52.00,43.00,95.00,5.00,100.00,¿Qué tipo de órgano debiera redactar la Nueva Constitución?
15/01/2020,Mori,1000,face to face,0,42.00,32.00,74.00,26.00,100.00,¿CONVENCIÓN MIXTA O CONVENCIÓN CONSTITUCIONAL? (todos los votantes)
15/01/2020,Mori,780,face to face,1,47.00,34.00,81.00,19.00,100.00,¿CONVENCIÓN MIXTA O CONVENCIÓN CONSTITUCIONAL? (entre los que dicen que votaran)
16/01/2020,Activa Research,950,online,0,57.20,24.40,81.60,8.60,90.20,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
16/01/2020,Activa Research,487,online,1,68.30,25.80,94.10,0.00,94.10,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
21/01/2020,Data Influye,1033,online,0,54.00,29.00,83.00,17.00,100.00,¿Qué tipo de órgano debiera redactar la Nueva Constitución?
24/01/2020,Cadem,709,phone,0,47.00,45.00,92.00,8.00,100.00,¿Qué tipo de órgano debiera redactar la Nueva Constitución?
28/01/2020,Criteria Research,806,online,0,56.00,35.00,91.00,9.00,100.00,¿Qué tipo de órgano debiera redactar la Nueva Constitución?
30/01/2020,Activa Research,975,online,0,50.30,24.40,74.70,15.40,90.10,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
30/01/2020,Activa Research,477,online,1,65.80,31.90,97.70,0.00,97.70,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
31/01/2020,Cadem,708,phone,0,50.00,42.00,92.00,8.00,100.00,¿Qué tipo de órgano debiera redactar la Nueva Constitución?
07/02/2020,Cadem,709,phone,0,51.00,42.00,93.00,7.00,100.00,¿Qué tipo de órgano debiera redactar la Nueva Constitución?
13/02/2020,Activa Research,1045,online,0,44.10,27.20,71.30,14.20,85.50,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
13/02/2020,Activa Research,525,online,1,58.40,25.50,83.90,0.00,83.90,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
14/02/2020,Cadem,705,phone,0,50.00,41.00,91.00,9.00,100.00,¿Qué tipo de órgano debiera redactar la Nueva Constitución?
18/02/2020,Data Influye,1445,online,0,58.00,27.00,85.00,15.00,100.00,¿Qué tipo de órgano debiera redactar la Nueva Constitución?
21/02/2020,Cadem,705,phone,0,50.00,42.00,92.00,8.00,100.00,¿Qué tipo de órgano debiera redactar la Nueva Constitución?
28/02/2020,Activa Research,1043,online,0,51.20,24.40,75.60,14.60,90.20,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
28/02/2020,Activa Research,583,online,1,66.30,26.30,92.60,0.00,92.60,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
28/02/2020,Cadem,702,phone,0,53.00,36.00,89.00,11.00,100.00,¿Qué tipo de órgano debiera redactar la Nueva Constitución?
29/02/2020,Criteria Research,796,online,0,52.00,34.00,86.00,10.00,96.00,*VOTO POR ÓRGANO CONSTITUYENTE
06/03/2020,Cadem,707,phone,0,58.00,33.00,91.00,9.00,100.00,¿Qué tipo de órgano debiera redactar la Nueva Constitución?
12/03/2020,Activa Research,1135,online,0,50.80,22.80,73.60,15.60,89.20,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
12/03/2020,Activa Research,690,online,1,68.40,27.10,95.50,0.00,95.50,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
13/03/2020,Cadem,702,phone,0,52.00,38.00,90.00,10.00,100.00,¿Qué tipo de órgano debiera redactar la Nueva Constitución?
15/03/2020,StatKnows,7054,online,0,53.70,28.80,82.50,8.60,91.10,"Si el plebiscito fuera hoy, qué responderías a la pregunta “¿Qué tipo de órgano debiera redactar la nueva Constitución?”"
16/03/2020,Data Influye,1273,online,0,65.00,24.00,89.00,10.00,99.00,"Y en ese mismo Plebiscito, para Ud., ¿qué tipo de órgano debiera redactar la Nueva Constitución?"
20/03/2020,Cadem,702,phone,0,51.00,39.00,90.00,10.00,100.00,¿Qué tipo de órgano debiera redactar la Nueva Constitución?
27/03/2020,Activa Research,1230,online,0,54.60,26.50,81.10,9.00,90.10,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional?
27/03/2020,Activa Research,690,online,1,67.00,28.10,95.10,0.00,95.10,¿Usted votará una Convención Mixta Constitucional o una Convención Constitucional? (votante probable)
