Fecha,Encuesta,N,prob,Sí,No
11/17/2019,Activa Research,2000,0,78,7
11/26/2019,Activa Research,1159,0,81,9
12/10/2019,Coes,1215,0,90,7
12/26/2019,Activa Research,1030,0,80,7
12/26/2019,Activa Research,1030,1,55,45
1/15/2020,Mori,1000,0,78,9
1/15/2020,Mori,780,1,69,31
1/16/2020,Activa Research,950,0,76,10
1/16/2020,Activa Research,950,1,49,51
1/21/2020,Data Influye,1033,0,83,3
1/28/2020,Criteria Research,806,0,90,6
1/30/2020,Activa Research,975,0,74,13
1/30/2020,Activa Research,975,1,42,58
2/12/2020,Activa Research,1135,0,71,15
2/13/2020,Activa Research,1045,0,73,11
2/13/2020,Activa Research,1045,1,41,59
2/18/2020,Data Influye,1445,0,83,4
2/28/2020,Activa Research,1043,0,72,15
2/28/2020,Activa Research,1043,1,52,48
3/12/2020,Activa Research,1135,0,71,15
3/12/2020,Activa Research,690,1,54,46
3/16/2020,Data Influye,1273,0,86,5
3/27/2020,Activa Research,1230,0,76,12
3/27/2020,Activa Research,1230,1,59,41
4/14/2020,Activa Research,1270,0,73,12
4/14/2020,Activa Research,725,1,50,50
4/28/2020,Activa Research,1227,0,77,12
4/28/2020,Activa Research,736,1,54,47
4/30/2020,Cadem,712,0,82,15
5/12/2020,Activa Research,1209,0,76,11
5/12/2020,Activa Research,724,1,60,40
5/30/2020,Activa Research,1215,0,71,12
5/30/2020,Activa Research,661,1,50,50
6/13/2020,Activa Research,960,1,53,47
6/13/2020,Activa Research,1730,0,74,14
6/21/2020,Data Influye,1961,0,49,34
6/28/2020,Activa Research,1260,0,67,14
6/28/2020,Activa Research,670,1,56,45
7/11/2020,Activa Research,1340,0,74,13
7/11/2020,Activa Research,747,1,53,48
7/26/2020,Data Influye,2034,0,64,25
7/30/2020,Cadem,3527,0,80,16
7/30/2020,Cadem,704,1,80,16
7/30/2020,Cadem,704,1,79,19
8/1/2020,Activa Research,1430,0,77,11
8/1/2020,Activa Research,797,1,57,43
8/15/2020,Activa Research,1434,0,71,15
8/15/2020,Activa Research,857,1,54,47
8/19/2020,Ipsos,800,0,78,8
8/21/2020,Cadem,705,0,84,13
8/24/2020,Data Influye,1940,0,79,4
8/28/2020,Cadem,2817,0,81,15
8/29/2020,Activa Research,1544,0,68,15
8/29/2020,Activa Research,920,1,52,48
8/31/2020,Criteria Research,986,0,83,10
9/4/2020,Cadem,703,0,83,13
