Fecha,Encuesta,N,Prob,p1,p2,p3,p4
06/11/2020,Cadem,705,0,4,2,1,
13/11/2020,Cadem,706,0,2,2,1,
14/11/2020,Activa Research,1035,0,3,5,,
14/11/2020,Activa Research,657,1,4,7,,
28/11/2020,Activa Research,1177,0,3,2,,
28/11/2020,Activa Research,657,1,2,2,,
30/11/2020,Data Influye,1702,0,5,3,2,1
09/12/2020,Criteria Research,957,0,6,4,3,
10/12/2020,Cadem,703,0,2,2,1,
28/12/2020,Activa Research,1004,0,3,2,6,
28/12/2020,Activa Research,606,1,4,3,6,
31/12/2020,Cadem,704,0,2,1,5,
04/01/2021,Data Influye,1568,0,5,2,6,1
05/01/2021,Criteria Research,1550,0,6,2,7,2
15/01/2021,Activa Research,1003,0,3,3,7,2
15/01/2021,Activa Research,601,1,4,5,11,2
15/01/2021,Cadem,704,0,3,,4,
22/01/2021,Cadem,710,0,3,1,4,
29/01/2021,Activa Research,1041,0,5,2,4,
29/01/2021,Activa Research,636,1,6,2,5,
29/01/2021,Cadem,702,0,3,1,4,
01/02/2021,Criteria Research,1000,0,5,2,8,
01/02/2021,Data Influye,1613,0,4,1,7,1
05/02/2021,Cadem,704,0,2,2,4,
12/02/2021,Activa Research,1003,0,4,2,4,
12/02/2021,Activa Research,581,1,5,3,6,2
12/02/2021,Cadem,705,0,3,1,1,
28/02/2021,Data Influye,1637,0,4,2,5,1
05/03/2021,Cadem,705,0,3,1,3,
12/03/2021,Activa Research,1235,0,3,4,5,2
12/03/2021,Activa Research,747,1,3,4,6,2
29/03/2021,Activa Research,1255,0,4,2,5,2
29/03/2021,Activa Research,693,1,4,1,6,3
30/03/2021,Criteria Research,1641,0,6,,6,
08/04/2021,Cadem,703,0,5,,6,
16/04/2021,Activa Research,1054,0,3,2,3,2
16/04/2021,Activa Research,623,1,4,3,3,3
26/04/2021,Data Influye,2014,0,5,2,4,1
30/04/2021,Activa Research,1184,0,5,,4,2
30/04/2021,Activa Research,667,1,6,,4,2
30/04/2021,Cadem,702,0,6,,5,
03/05/2021,Criteria Research,1592,0,6,,5,
18/05/2021,Activa Research,1047,0,3,,3,
18/05/2021,Activa Research,680,1,5,,3,
20/05/2021,Cadem,1000,0,5,,,
28/05/2021,Activa Research,1522,0,4,4,5,
28/05/2021,Activa Research,967,1,5,5,6,
28/05/2021,Cadem,708,0,8,,8,
28/05/2021,Feedback,5457,0,7,,10,
31/05/2021,Data Influye,1365,0,5,2,10,
01/06/2021,Criteria Research,1532,0,6,2,8,
03/06/2021,Cadem,702,0,7,6,8,
11/06/2021,Activa Research,1226,0,3,4,4,2
11/06/2021,Activa Research,771,1,4,6,6,2
11/06/2021,Cadem,703,0,7,6,6,
14/06/2021,LabEstudios,1506,0,4,1,2,1
17/06/2021,Cadem,703,0,5,5,5,
24/06/2021,Cadem,2388,0,6,4,9,
28/06/2021,Data Influye,1396,0,5,2,10,
29/06/2021,Criteria Research,1598,0,6,4,10,
15/07/2021,Cadem,3200,0,6,5,15,
23/07/2021,Cadem,700,0,8,,25,
26/07/2021,Black & White,1844,0,13,,35,
30/07/2021,Activa Research,1317,0,7,5,18,1
30/07/2021,Activa Research,857,1,7,7,20,1
30/07/2021,Cadem,703,0,7,,24,
30/07/2021,Feedback,4066,0,10,,22,1
30/07/2021,Feedback,4066,1,9,1,21,
02/08/2021,Data Influye,1411,0,9,,20,
03/08/2021,Criteria Research,1026,0,7,3,25,
06/08/2021,Cadem,702,0,10,,24,
13/08/2021,Activa Research,1410,0,10,5,20,2
13/08/2021,Activa Research,890,1,11,7,26,2
13/08/2021,Cadem,703,0,9,,22,
27/08/2021,Activa Research,1559,0,11,6,12,4
27/08/2021,Activa Research,967,1,12,9,14,4
27/08/2021,Cadem,704,0,10,7,20,3
31/08/2021,Criteria Research,1551,0,8,6,19,1
01/09/2021,CEP,1443,0,3,2,11,
03/09/2021,Cadem,702,0,12,7,19,2
06/09/2021,Data Influye,1619,0,11,6,18,3
10/09/2021,Cadem,705,0,9,8,19,3
14/09/2021,La Cosa Nostra,600,1,12,5,27,3
16/09/2021,Cadem,709,0,10,6,17,5
16/09/2021,Cadem,100,1,14,8,24,6
24/09/2021,Cadem,703,0,13,5,17,4
24/09/2021,Cadem,100,1,18,7,23,5
24/09/2021,Panel Ciudadano,944,0,12,4,16,4
01/10/2021,Activa Research,1601,0,14,6,13,3
01/10/2021,Activa Research,878,1,17,8,15,3
01/10/2021,Cadem,705,0,15,5,12,5
01/10/2021,Cadem,100,1,21,7,17,7
